Unnamed: 0,trial_type_id,full_phrase,full_phrase_language,target_side,dataset_id,distractor_id,target_id,trial_type_aux_data,vanilla_trial,dataset_name,unique_pair,text1_description,image1,text1,text2_description,image2,text2,image_similarity,text_similarity,multimodal_similarity,ooo_similarity,things_text1,things_text2
1,4528,Look at the ball! Do you like it?,eng,right,28,1064,948,,1,adams_marchman_2018,948_1064,ball,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/ball3.png,ball,shoe,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/shoe3.png,shoe,0.5396,0.8315,0.311,0.3879,ball,shoe
2,4529,Look at the ball! Do you like it?,eng,right,28,1063,947,,1,adams_marchman_2018,947_1063,ball,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/ball1.png,ball,shoe,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/shoe1.png,shoe,0.576,0.8315,0.3716,0.3879,ball,shoe
3,4530,Look at the ball! Do you like it?,eng,right,28,1065,949,,1,adams_marchman_2018,949_1065,ball,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/ball4.png,ball,shoe,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/shoe4.png,shoe,0.669,0.8315,0.338,0.3879,ball,shoe
4,4536,Look at the ball! Do you like it?,eng,left,28,1067,945,,1,adams_marchman_2018,945_1067,ball,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/ball2.png,ball,shoe,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/shoe2.png,shoe,0.6562,0.8315,0.4072,0.3879,ball,shoe
5,4537,Look at the ball! Do you like it?,eng,left,28,1066,944,,1,adams_marchman_2018,944_1066,ball,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/ball1.png,ball,shoe,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/shoe1.png,shoe,0.566,0.8315,0.371,0.3879,ball,shoe
6,4538,Look at the ball! Do you like it?,eng,left,28,1068,946,,1,adams_marchman_2018,946_1068,ball,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/ball3.png,ball,shoe,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/shoe3.png,shoe,0.5464,0.8315,0.3247,0.3879,ball,shoe
7,4543,See the birdie? Can you find it?,eng,right,28,1033,964,,1,adams_marchman_2018,964_1033,birdy,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/birdy2.png,birdy,kitty,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/kitty2.png,kitty,0.6953,0.8633,0.415,0.7066,bird,cat
8,4544,See the birdie? Can you find it?,eng,right,28,1032,963,,1,adams_marchman_2018,963_1032,birdy,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/birdy1.png,birdy,kitty,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/kitty1.png,kitty,0.697,0.8633,0.4092,0.7066,bird,cat
9,4545,See the birdie? Can you find it?,eng,right,28,1034,965,,1,adams_marchman_2018,965_1034,birdy,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/birdy3.png,birdy,kitty,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/kitty3.png,kitty,0.6387,0.8633,0.4282,0.7066,bird,cat
10,4551,See the birdie? Can you find it?,eng,left,28,1037,962,,1,adams_marchman_2018,962_1037,birdy,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/birdy4.png,birdy,kitty,stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/kitty4.png,kitty,0.6743,0.8633,0.4365,0.7066,bird,cat
